parcelid,address,muni,lat,lon,tract
8000T03732000000,39224 SHAMROCK CT PITTSBURGH PA 15239,PLUM,40.483486994655159,-79.710163400242621,526301
8000T03639000000,109 NORWICH CT CARNEGIE PA 15106,ROBINSON,40.417733391965065,-80.106925482776262,459201
8000T03626000000,39249 SHAMROCK CT PITTSBURGH PA 15239,PLUM,40.484406316360776,-79.711167429859756,526301
2395P00005000000,0 STATE ROUTE 908 NATRONA HEIGHTS PA 15065,HARRISON,40.666973391925353,-79.708307881010128,401100
2378G00071000000,6087 VALENCIA RD VALENCIA PA 16059,RICHLAND,40.672459105672111,-79.988133786545163,408001
2377S00018000000,533 MACLEOD DR GIBSONIA PA 15044,PINE,40.667420052705026,-80.002409050455356,409002
2377K00011000000,212 MACFADDEN DR GIBSONIA PA 15044,PINE,40.669427748993762,-80.007985349670051,409002
2377K00004000000,404 OAK RIDGE CT MARS PA 16046,PINE,40.670863721434152,-80.011396741402493,409002
2376P00016000000,102 ORCHARD DR GIBSONIA PA 15044,PINE,40.668743544530344,-80.026658293001901,409002
2376P00014000000,100 ORCHARD DR GIBSONIA PA 15044,PINE,40.668195660388513,-80.026775278721274,409002
2376M00020000000,8008 FALCON CT GIBSONIA PA 15044,PINE,40.671601083347070,-80.020153993584671,409002
2376M00006000000,9010 PEREGRINE DR GIBSONIA PA 15044,PINE,40.669700262710329,-80.016831472553321,409002
2376L00010012500,1125 BAY HILL DR GIBSONIA PA 15044,PINE,40.669668279841481,-80.024092123249503,409002
2376L00009012300,1123 BAY HILL DR GIBSONIA PA 15044,PINE,40.669645474872091,-80.023806791580000,409002
2376L00009000000,8004 FALCON CT GIBSONIA PA 15044,PINE,40.671083580798673,-80.020940853693517,409002
2376L00007011300,1113 BAY HILL DR GIBSONIA PA 15044,PINE,40.670296759736381,-80.023311706663534,409002
2376J00008000000,2128 WEST GROVE DR GIBSONIA PA 15044,PINE,40.669101924230880,-80.029577812038710,409002
2376H00004000000,8014 FALCON CT GIBSONIA PA 15044,PINE,40.672193889830069,-80.018914116594601,409002
2376H00002000000,8018 FALCON CT GIBSONIA PA 15044,PINE,40.672065948387534,-80.017791307143440,409002
2376G00054000000,128 PINEHURST LN GIBSONIA PA 15044,PINE,40.671783561164418,-80.022618523436520,409002
2376G00034000000,105 ISLEWORTH WAY GIBSONIA PA 15044,PINE,40.672378613695308,-80.023820459870421,409002
2376G00033000000,106 ISLEWORTH WAY GIBSONIA PA 15044,PINE,40.672180672110350,-80.023795373330813,409002
2376G00024000000,114 PINEHURST LN GIBSONIA PA 15044,PINE,40.671798749934133,-80.024424899029668,409002
2376E00025000000,4012 WEST GROVE WAY GIBSONIA PA 15044,PINE,40.673069748131169,-80.032728523736324,409002
2376E00024000000,4010 WEST GROVE WAY GIBSONIA PA 15044,PINE,40.672751270144595,-80.032649844298518,409002
2375M00007000000,2043 WEST GROVE DR GIBSONIA PA 15044,PINE,40.670649960674794,-80.033903221051503,409002
2374P00028000000,311 CONNEMARA CT MARS PA 16046,PINE,40.668438470873831,-80.058871992952419,409002
2374P00022000000,108 MINNOCK DR MARS PA 16046,PINE,40.668907322856121,-80.060467135506954,409002
2374P00020000000,110 MINNOCK DR MARS PA 16046,PINE,40.668636784258609,-80.060119848720035,409002
2374P00014000000,116 MINNOCK DR MARS PA 16046,PINE,40.667931471377400,-80.059309982296725,409002
2374N00004000000,328 MACINTOSH DR MARS PA 16046,PINE,40.667008199621570,-80.063996395999695,409002
2374F00066000000,1001 PLEASANT RIDGE DR MARS PA 16046,PINE,40.671651789873394,-80.060032735981252,409002
2372R00308000000,601 CHILLIWACK LN MARS PA 16046,MARSHALL,40.666758955410138,-80.090386893338689,411002
2372R00249000000,272 VENANGO TRL MARS PA 16046,MARSHALL,40.668586145461383,-80.090164886320295,411002
2372R00145000000,245 VENANGO TRL MARS PA 16046,MARSHALL,40.667915429767369,-80.090695234867425,411002
2372M00590000000,146 SENECA PL MARS PA 16046,MARSHALL,40.670311449063632,-80.084177559268923,411002
2372M00578000000,138 SENECA PL MARS PA 16046,MARSHALL,40.670540297464647,-80.084561915254525,411002
2372M00324000000,502 TUSCARORA RD MARS PA 16046,MARSHALL,40.670336938867898,-80.086123788442990,411002
