parcelid,address,muni,lat,lon,tract
0746K00251000000,522 10TH ST PITCAIRN PA 15140,PITCAIRN,40.408740427237994,-79.775282830799426,522000
0744M00224000000,338 RED OAK CT MONROEVILLE PA 15146,MONROEVILLE,40.428154949361257,-79.769283827877686,521302
0744H00168000000,4045 THOMAS ST MONROEVILLE PA 15146,MONROEVILLE,40.430450077812452,-79.768130098180663,521302
0743S00201000000,111 CARSON ST MONROEVILLE PA 15146,MONROEVILLE,40.434127248754592,-79.769904679041872,521302
0743F00004000000,322 KAREN CT MONROEVILLE PA 15146,MONROEVILLE,40.440455178298748,-79.775192142840751,521200
0743E00312000000,3801 NORTHERN PIKE MONROEVILLE PA 15146,MONROEVILLE,40.439008187295954,-79.782546480490922,521200
0743C00284000000,4342 OLD WILLIAM PENN HWY MONROEVILLE PA 15146,MONROEVILLE,40.442676167065166,-79.773116354095492,521200
0743C00177000000,269 LILAC DR MONROEVILLE PA 15146,MONROEVILLE,40.441371292775038,-79.774244545336359,521200
0743B00267000000,125 HEATHER DR MONROEVILLE PA 15146,MONROEVILLE,40.441135951563012,-79.775735684985790,521200
0742M00015000000,3930 EVERGREEN DR MONROEVILLE PA 15146,MONROEVILLE,40.445828303993217,-79.767066650402214,521100
0742L00234000000,608 WINTERBERRY RD MONROEVILLE PA 15146,MONROEVILLE,40.446412388962273,-79.772678815955516,521100
0742E00316000000,706 BILBERRY RD MONROEVILLE PA 15146,MONROEVILLE,40.450361331685976,-79.782384433255828,521100
0742C00175000000,356 WILLOW HEDGE DR MONROEVILLE PA 15146,MONROEVILLE,40.452264533286282,-79.773704985314154,521100
0742A00006000000,716 GREENLEAF DR MONROEVILLE PA 15146,MONROEVILLE,40.450899495259819,-79.778738276581464,521100
0741L00148000000,151 FORT PITT BLVD PITTSBURGH PA 15222,MONROEVILLE,40.456063580730344,-79.774054921109652,521100
0741L00105000000,118 ARMOUR DR MONROEVILLE PA 15146,MONROEVILLE,40.455423493055264,-79.774688161951417,521100
0741K00132000000,126 ARMOUR DR MONROEVILLE PA 15146,MONROEVILLE,40.456452280356267,-79.774784982144922,521100
0741K00116000000,320 NELSON DR MONROEVILLE PA 15146,MONROEVILLE,40.456233097447715,-79.776989116636116,521100
0741K00114000000,316 NELSON DR MONROEVILLE PA 15146,MONROEVILLE,40.456210097848981,-79.776531989294966,521100
0741K00112000000,312 NELSON DR MONROEVILLE PA 15146,MONROEVILLE,40.455995549294698,-79.776160886940829,521100
0741K00108000000,304 NELSON DR MONROEVILLE PA 15146,MONROEVILLE,40.455615570395253,-79.775326550359196,521100
0741K00107000000,302 NELSON DR MONROEVILLE PA 15146,MONROEVILLE,40.455588477024648,-79.775074641080636,521100
0741J00105000000,340 NELSON DR MONROEVILLE PA 15146,MONROEVILLE,40.456503380144426,-79.779556808039771,521100
0741G00142000000,209 SARAZEN DR MONROEVILLE PA 15146,MONROEVILLE,40.458164866124591,-79.773638808566517,521100
0741C00023000000,118 CARRIAGE DR PITTSBURGH PA 15239,PLUM,40.460680750861393,-79.770922756837550,526202
0740S00307000000,506 CRESTHAVEN DR PITTSBURGH PA 15239,PLUM,40.462780567793239,-79.770235830713020,526202
0739P00123000000,761 GARLOW BLVD PITTSBURGH PA 15239,PLUM,40.492862563085225,-79.778080997546354,526201
0739G00255000000,503 DEBORAH JANE DR PITTSBURGH PA 15239,PLUM,40.479153753173861,-79.773083380964891,526202
