parcelid,address,muni,lat,lon,tract
0036E00100000000,287 ORIOLE DR PITTSBURGH PA 15220,GREENTREE,40.409762703162357,-80.046491014669542,469000
0036A00130000000,1072 GREENLAWN DR PITTSBURGH PA 15220,GREENTREE,40.412691866744197,-80.047163644504110,469000
0036A00070000000,1061 GREENLAWN DR PITTSBURGH PA 15220,GREENTREE,40.413079020471507,-80.046308221256083,469000
0035R00332000000,1934 FAIRACRES AVE PITTSBURGH PA 15216,19TH WARD - PITTSBURGH,40.405542045702411,-80.020832425300526,192000
0035P00097000000,1805 CROSBY AVE PITTSBURGH PA 15216,19TH WARD - PITTSBURGH,40.405837289032739,-80.024954418570090,192000
0035G00293000000,1707 SUBURBAN AVE PITTSBURGH PA 15216,19TH WARD - PITTSBURGH,40.410247615144861,-80.020342586263354,191600
0035G00219000000,1537 DAGMAR AVE PITTSBURGH PA 15216,19TH WARD - PITTSBURGH,40.411359068736644,-80.022691476589841,191600
0035C00066000000,1535 FALLOWFIELD AVE PITTSBURGH PA 15216,19TH WARD - PITTSBURGH,40.411511778207924,-80.023524576918874,191600
0034M00144000000,316 CONNISTON AVE PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.407206119710878,-79.999651905440032,562400
0034J00280000000,738 LINDA DR PITTSBURGH PA 15226,19TH WARD - PITTSBURGH,40.407196300341752,-80.012331014154853,191700
0033R00087000000,45 CALHOUN AVE PITTSBURGH PA 15210,29TH WARD - PITTSBURGH,40.406459290803753,-79.990149452804886,290200
0033M00194000000,517 GIFFIN AVE PITTSBURGH PA 15210,MT. OLIVER,40.407879254953741,-79.985487780166650,481000
0033H00160000000,402 GIFFIN AVE PITTSBURGH PA 15210,MT. OLIVER,40.409055604535482,-79.986527353457333,481000
0033G00231000000,424 CARL ST PITTSBURGH PA 15210,MT. OLIVER,40.411320908785868,-79.988560241474531,481000
0033G00078000000,125 GIFFIN AVE PITTSBURGH PA 15210,MT. OLIVER,40.409408175952585,-79.989382885633376,481000
0033F00279000000,335 REIFERT ST PITTSBURGH PA 15210,30TH WARD - PITTSBURGH,40.409567277575391,-79.995099907348788,300100
