parcelid,address,muni,lat,lon,tract
0440A00221000000,608 POPLAR CT PITTSBURGH PA 15238,HARMAR,40.539702351545301,-79.865204873127553,419000
0439P00017000000,217 FAIRVIEW RD PITTSBURGH PA 15238,FOX CHAPEL,40.530252090586636,-79.879394690324403,422000
0439P00015000000,207 FAIRVIEW RD PITTSBURGH PA 15238,FOX CHAPEL,40.530263540484363,-79.878587400518455,422000
0439K00110000000,111 NANTUCKET DR PITTSBURGH PA 15238,FOX CHAPEL,40.535151259615319,-79.877383111411277,422000
0439J00150000000,101 NANTUCKET DR PITTSBURGH PA 15238,FOX CHAPEL,40.533874564691729,-79.881723139827770,422000
0439H00010000000,15 OLD TIMBER TRL PITTSBURGH PA 15238,FOX CHAPEL,40.535524971138990,-79.867358405943619,422000
0439E00110000000,84 FAIR OAKS DR PITTSBURGH PA 15238,FOX CHAPEL,40.536201452512117,-79.881543456521342,422000
0439C00175000000,1150 FOX CHAPEL RD PITTSBURGH PA 15238,FOX CHAPEL,40.539668526875765,-79.871976100654848,422000
0439C00170000000,600 BENDING OAK LN PITTSBURGH PA 15238,FOX CHAPEL,40.538346896779764,-79.871826607265689,422000
0439B00130000000,36 WOODLAND FARMS RD PITTSBURGH PA 15238,FOX CHAPEL,40.538205006565683,-79.876663130830423,422000
0438R00034000000,10 SWEET WATER LN PITTSBURGH PA 15238,FOX CHAPEL,40.531149732326320,-79.889206393941819,422000
0438N00020000000,110 MILLVIEW DR PITTSBURGH PA 15238,FOX CHAPEL,40.530759991269541,-79.898520327352870,422000
0438L00138000000,611 WHISPERING PINES DR PITTSBURGH PA 15238,FOX CHAPEL,40.534683919745099,-79.889120834120121,422000
0438L00126000000,624 WHISPERING PINES DR PITTSBURGH PA 15238,FOX CHAPEL,40.533352044378972,-79.888325322058890,422000
0438L00010000000,1 WHISPERING PINES LN PITTSBURGH PA 15238,FOX CHAPEL,40.534212436189009,-79.889983484123093,422000
0438D00122000000,604 WHISPERING PINES DR PITTSBURGH PA 15238,FOX CHAPEL,40.538478524437998,-79.886163766869103,422000
0438C00125000000,529 FAIRVIEW RD PITTSBURGH PA 15238,FOX CHAPEL,40.538546918205597,-79.890552267210225,422000
